407,497,15302,0,55,1,88952
420,510,0,0,55,1,88952
437,527,15302,0,55,1,88952
450,540,0,0,55,1,88952
467,557,15302,0,55,1,88952
480,570,0,0,55,1,88952
497,587,15302,0,55,1,88952
510,600,0,0,55,1,88952
527,617,15302,0,55,1,88952
540,630,0,0,55,1,88952
557,647,15302,0,55,1,88952
570,660,0,0,55,1,88952
587,677,15302,0,55,1,88952
600,690,0,0,55,1,88952
617,707,15302,0,55,1,88952
630,720,0,0,55,1,88952
647,737,15302,0,55,1,88952
660,750,0,0,55,1,88952
677,767,15302,0,55,1,88952
690,780,0,0,55,1,88952
707,797,15302,0,55,1,88952
720,810,0,0,55,1,88952
737,827,15302,0,55,1,88952
750,840,0,0,55,1,88952
767,857,15302,0,55,1,88952
780,870,0,0,55,1,88952
797,887,15302,0,55,1,88952
810,900,0,0,55,1,88952
827,917,15302,0,55,1,88952
840,930,0,0,55,1,88952
840,930,15,2,21,0,34609
850,940,40199,2,21,0,34609
857,947,15302,0,55,1,88952
870,960,0,0,55,1,88952
870,960,15,2,21,0,34609
880,970,40199,2,21,0,34609
887,977,15302,0,55,1,88952
894,984,6660,1,45,0,73530
900,990,2,1,45,0,73530
900,990,0,0,55,1,88952
900,990,15,2,21,0,34609
910,1000,40199,2,21,0,34609
917,1007,15302,0,55,1,88952
924,1014,6660,1,45,0,73530
